11:58:19.989 -> $49400;-0.00;-0.01;1.02;-0.00;-0.01;1.02;0.61;-1.89;-4.33;2.13;0.61;0.12;19.30;54.29;16.18;19.30;54.29;16.18;101534.00;21.62;0.00;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:20.085 -> $49500;-0.00;-0.01;1.02;-0.00;-0.01;1.01;0.43;-1.22;11.16;-1.89;3.84;2.44;18.40;54.11;14.61;18.40;54.11;14.61;101535.99;21.62;-0.01;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:20.179 -> $49600;0.00;-0.01;1.02;-0.00;-0.01;1.02;-0.37;-1.28;-1.65;-0.37;-2.68;11.52;19.84;53.02;16.00;19.84;53.02;16.00;101534.61;21.63;-0.00;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:20.270 -> $49700;-0.00;-0.02;1.02;-0.00;-0.01;1.02;0.00;5.06;8.29;-5.24;9.33;1.52;19.12;54.11;16.00;19.12;54.11;16.00;101529.60;21.62;0.03;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:20.409 -> $49800;-0.00;-0.01;1.02;-0.00;-0.01;1.02;-1.52;-2.44;3.48;2.13;-0.06;-0.24;19.84;54.83;15.31;19.48;53.74;14.96;101532.22;21.63;0.01;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:20.503 -> $49900;-0.00;-0.01;1.02;-0.00;-0.01;1.02;-0.55;-7.56;-0.43;-4.09;-6.16;6.52;18.94;55.74;15.48;19.30;54.29;14.79;101531.48;21.62;0.02;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:20.596 -> $50000;-0.01;-0.01;1.01;-0.00;-0.01;1.02;-3.84;9.51;-2.74;-1.89;4.02;-10.61;18.58;53.20;15.83;18.76;54.11;17.05;101529.52;21.63;0.03;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:20.692 -> $50100;-0.00;-0.01;1.02;-0.00;-0.01;1.02;3.11;10.30;0.49;-2.50;3.41;-2.74;18.40;54.83;15.66;18.40;54.83;15.66;101530.34;21.63;0.02;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:20.783 -> $50200;-0.01;-0.01;1.02;-0.01;-0.01;1.02;4.09;-0.85;2.26;-1.16;2.20;1.16;18.58;53.93;16.53;18.58;53.93;16.53;101532.11;21.63;0.01;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:20.876 -> $50300;-0.00;-0.01;1.01;-0.00;-0.02;1.01;-1.89;8.90;-13.60;-0.37;-2.68;7.07;19.66;53.20;15.48;19.66;53.20;15.48;101531.37;21.62;0.02;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:20.970 -> $50400;-0.00;-0.01;1.01;-0.00;-0.01;1.02;-0.73;-4.94;2.07;4.09;4.45;0.12;18.22;54.65;16.18;18.22;54.65;16.18;101530.83;21.62;0.02;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:21.111 -> $50500;-0.01;-0.01;1.01;-0.00;-0.01;1.01;1.22;11.16;0.30;-1.52;5.43;-3.29;19.12;54.83;16.70;19.12;54.83;16.70;101527.78;21.62;0.04;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:21.204 -> $50600;-0.00;-0.01;1.01;-0.01;-0.01;1.01;-3.11;-4.33;7.26;0.00;0.98;-2.38;18.94;54.65;15.83;18.22;53.93;15.83;101527.92;21.62;0.04;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:21.300 -> $50700;-0.00;-0.01;1.02;-0.00;-0.01;1.01;2.74;-0.61;-4.33;0.43;14.39;4.94;18.94;53.93;15.48;19.30;53.56;16.87;101528.35;21.62;0.04;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:21.391 -> $50800;-0.00;-0.01;1.01;-0.01;-0.01;1.02;-4.09;0.37;1.16;1.77;-4.33;-0.43;18.58;55.38;15.83;20.75;53.93;16.18;101526.89;21.62;0.05;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:21.484 -> $50900;-0.00;-0.02;1.01;-0.00;-0.02;1.02;-0.55;2.62;-1.46;-4.09;1.59;10.43;18.58;53.20;15.83;18.58;53.20;15.83;101527.07;21.62;0.05;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:21.577 -> $51000;-0.01;-0.01;1.02;-0.01;-0.01;1.01;2.93;-5.30;0.12;2.38;0.55;8.84;17.86;54.29;15.48;17.86;54.29;15.48;101525.25;21.62;0.06;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:21.670 -> $51100;-0.00;-0.01;1.02;-0.00;-0.01;1.02;-5.61;-4.15;-1.16;-0.55;2.80;-8.78;19.84;53.38;16.35;19.84;53.38;16.35;101527.07;21.62;0.05;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:21.809 -> $51200;-0.00;-0.01;1.02;-0.00;-0.01;1.02;-1.16;-2.32;-1.16;3.72;4.02;2.07;18.22;54.65;16.18;18.22;54.65;16.18;101527.07;21.62;0.05;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:21.907 -> $51300;-0.00;-0.01;1.02;-0.00;-0.01;1.01;2.13;5.06;-0.24;4.33;10.12;-2.38;19.30;54.29;14.09;20.57;51.93;17.40;101529.24;21.62;0.03;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:21.997 -> $51400;-0.00;-0.01;1.01;-0.01;-0.01;1.02;-3.29;2.99;9.39;0.00;0.79;-4.70;19.30;53.20;15.83;18.22;54.65;16.87;101524.97;21.62;0.06;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:22.090 -> $51500;0.00;-0.01;1.02;0.00;-0.01;1.02;-0.98;-9.39;9.57;-0.18;-2.32;1.52;18.76;53.74;15.31;18.76;53.74;15.31;101527.82;21.62;0.04;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:22.183 -> $51600;-0.00;-0.01;1.02;-0.00;-0.01;1.01;3.35;-7.56;10.30;-0.98;-8.35;-0.24;18.94;53.56;15.48;18.94;53.56;15.48;101530.16;21.63;0.03;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:22.276 -> $51700;-0.00;-0.01;1.01;-0.00;-0.01;1.01;-1.16;-0.85;4.21;0.79;10.18;-2.20;20.20;53.74;16.70;20.20;53.74;16.70;101530.88;21.63;0.02;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:22.370 -> $51800;-0.00;-0.01;1.02;-0.00;-0.01;1.01;0.61;6.46;-0.61;4.51;6.46;-5.06;19.84;54.83;17.05;19.84;54.83;17.05;101528.35;21.62;0.04;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:22.512 -> $51900;-0.00;-0.01;1.01;-0.01;-0.01;1.02;1.22;3.84;1.16;0.61;-3.11;6.34;19.66;53.93;15.83;19.66;53.93;15.83;101528.28;21.62;0.04;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:22.603 -> $52000;-0.00;-0.01;1.01;0.00;-0.01;1.01;-0.98;6.71;10.79;-0.18;1.16;-3.48;19.30;53.93;17.22;19.30;53.93;17.22;101526.75;21.62;0.05;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:22.696 -> $52100;-0.01;-0.01;1.01;-0.00;-0.02;1.02;0.61;-1.71;-3.96;-1.71;5.43;0.67;18.76;53.74;16.35;19.84;53.38;15.66;101524.40;21.62;0.06;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:22.790 -> $52200;-0.01;-0.01;1.02;-0.00;-0.01;1.02;1.40;4.21;-2.01;3.11;11.77;2.62;16.96;54.47;16.70;20.38;54.65;15.83;101527.25;21.62;0.04;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
